cwit_id,crid,gender,age,race,race_edit,final_outcome_highest
30686,1067914,M,35.1,BLACK,Black,unknown
30687,1067915,M,,BLACK,Black,not-sustained
30688,1067916,M,38.9,BLACK,Black,not-sustained
30689,1067918,M,43.7,WHITE,White,not-sustained
30690,1067919,F,50.7,BLACK,Black,open-investigation
30691,1067920,M,35.9,BLACK,Black,unknown
30692,1067921,F,48.5,BLACK,Black,not-sustained
30693,1067923,M,60.2,BLACK,Black,not-sustained
30694,1067924,M,53.4,BLACK,Black,open-investigation
30695,1067926,M,57.0,BLACK,Black,unknown
30696,1067927,F,24.5,WHITE,White,unknown
30697,1067928,M,,WHITE HISPANIC,White/Hispanic,unknown
30698,1067929,M,37.2,BLACK,Black,unknown
30699,1067931,F,36.6,BLACK,Black,unknown
30700,1067932,M,31.8,WHITE HISPANIC,White/Hispanic,not-sustained
30701,1067933,M,45.1,WHITE HISPANIC,White/Hispanic,not-sustained
30702,1067934,F,30.6,BLACK,Black,not-sustained
30703,1067936,M,21.4,BLACK,Black,not-sustained
30704,1067939,F,41.7,BLACK,Black,unknown
30705,1067941,F,46.6,BLACK,Black,open-investigation
30706,1067942,M,30.5,UNKNOWN,Unknown,not-sustained
30707,1067943,M,33.2,BLACK,Black,unknown
30708,1067944,M,36.3,BLACK,Black,not-sustained
30709,1067945,F,60.1,BLACK,Black,not-sustained
30710,1067946,M,41.9,WHITE,White,not-sustained
30711,1067947,F,31.1,BLACK,Black,unknown
30712,1067949,M,46.5,BLACK,Black,not-sustained
30713,1067950,M,46.5,BLACK,Black,unknown
30714,1067952,M,25.6,BLACK,Black,not-sustained
30715,1067953,M,30.0,BLACK,Black,not-sustained
30716,1067957,M,83.1,WHITE,White,open-investigation
30717,1067958,M,56.0,WHITE,White,open-investigation
30718,1067962,F,19.6,BLACK,Black,not-sustained
30719,1067963,X,,UNKNOWN,Unknown,not-sustained
30720,1067965,M,,UNKNOWN,Unknown,not-sustained
30721,1067966,F,39.0,BLACK,Black,open-investigation
30722,1067967,F,61.2,WHITE HISPANIC,White/Hispanic,unknown
30723,1067968,M,36.4,BLACK,Black,not-sustained
30724,1067969,M,48.1,BLACK,Black,open-investigation
30725,1067970,M,,BLACK,Black,not-sustained
30726,1067971,M,42.0,WHITE,White,open-investigation
30727,1067973,M,41.3,BLACK,Black,not-sustained
30728,1067974,M,29.6,WHITE,White,not-sustained
30729,1067976,M,39.4,WHITE,White,not-sustained
30730,1067977,X,,UNKNOWN,Unknown,unknown
30731,1067978,F,22.6,BLACK,Black,unknown
30732,1067979,F,61.7,WHITE,White,not-sustained
30733,1067981,F,46.7,BLACK,Black,not-sustained
30734,1067982,M,50.2,WHITE,White,open-investigation
30735,1067985,F,72.7,BLACK,Black,not-sustained
30736,1067986,M,23.8,HISPANIC,Hispanic,unknown
30737,1067987,M,52.8,WHITE,White,open-investigation
30738,1067989,F,50.7,BLACK,Black,unknown
30739,1067990,M,35.6,BLACK,Black,unknown
30740,1067993,M,55.7,WHITE,White,not-sustained
30741,1067993,M,56.0,WHITE,White,not-sustained
30742,1067995,F,36.6,BLACK,Black,not-sustained
30743,1067996,M,35.4,WHITE HISPANIC,White/Hispanic,unknown
30744,1067997,F,37.6,BLACK,Black,not-sustained
30745,1067998,F,37.6,BLACK,Black,not-sustained
30746,1067999,F,37.6,BLACK,Black,not-sustained
30747,1068001,F,53.7,WHITE HISPANIC,White/Hispanic,not-sustained
30748,1068002,M,29.4,BLACK,Black,not-sustained
30749,1068005,M,,BLACK,Black,unknown
30750,1068008,F,40.7,BLACK,Black,not-sustained
30751,1068009,M,21.9,UNKNOWN,Unknown,not-sustained
30752,1068010,F,,WHITE HISPANIC,White/Hispanic,not-sustained
30753,1068011,F,33.2,BLACK,Black,unknown
30754,1068012,F,62.0,BLACK,Black,unknown
30755,1068014,M,24.2,WHITE,White,unknown
30756,1068015,F,31.9,BLACK,Black,not-sustained
30757,1068016,M,49.3,BLACK,Black,unknown
30758,1068018,M,24.9,WHITE,White,unknown
30759,1068019,M,28.1,BLACK,Black,not-sustained
30760,1068020,M,,BLACK,Black,unknown
30761,1068028,M,25.3,WHITE HISPANIC,White/Hispanic,not-sustained
30762,1068029,M,52.2,BLACK,Black,not-sustained
30763,1068030,M,52.4,WHITE HISPANIC,White/Hispanic,not-sustained
30764,1068031,F,29.6,WHITE HISPANIC,White/Hispanic,not-sustained
30765,1068032,M,32.5,BLACK,Black,not-sustained
30766,1068033,F,46.6,BLACK,Black,not-sustained
30767,1068035,M,73.5,BLACK,Black,open-investigation
30768,1068036,F,52.0,WHITE,White,open-investigation
30769,1068037,M,43.1,WHITE,White,open-investigation
30770,1068038,M,34.8,BLACK,Black,not-sustained
30771,1068039,M,27.4,BLACK,Black,not-sustained
30772,1068041,M,38.9,BLACK,Black,open-investigation
30773,1068042,M,56.7,HISPANIC,Hispanic,open-investigation
30774,1068044,F,43.3,WHITE HISPANIC,White/Hispanic,not-sustained
30775,1068045,F,33.2,WHITE,White,unknown
30776,1068047,F,27.9,BLACK,Black,unknown
30777,1068048,F,47.9,WHITE,White,open-investigation
30778,1068049,F,47.9,WHITE,White,open-investigation
30779,1068052,F,,BLACK,Black,not-sustained
30780,1068054,M,20.4,BLACK,Black,unknown
30781,1068056,M,31.9,WHITE,White,unknown
30782,1068057,M,25.0,WHITE,White,not-sustained
30783,1068059,F,57.1,WHITE,White,open-investigation
30784,1068060,M,33.5,BLACK,Black,not-sustained
30785,1068061,F,40.5,WHITE,White,unknown
30786,1068062,F,55.4,WHITE,White,disciplined
30787,1068064,M,52.4,BLACK,Black,unknown
30788,1068065,F,55.9,BLACK,Black,unknown
30789,1068066,F,46.3,BLACK,Black,not-sustained
30790,1068067,F,46.3,BLACK,Black,unknown
30791,1068069,M,54.1,WHITE HISPANIC,White/Hispanic,unknown
30792,1068070,F,40.5,WHITE,White,not-sustained
30793,1068071,F,,BLACK,Black,not-sustained
30794,1068072,M,36.9,BLACK,Black,not-sustained
30795,1068073,M,49.9,HISPANIC,Hispanic,unknown
30796,1068074,F,36.3,BLACK,Black,not-sustained
30797,1068075,M,54.6,WHITE,White,open-investigation
30798,1068076,F,47.5,BLACK,Black,not-sustained
30799,1068078,M,49.9,WHITE,White,unknown
30800,1068080,M,31.1,WHITE HISPANIC,White/Hispanic,not-sustained
30801,1068084,M,34.5,WHITE HISPANIC,White/Hispanic,not-sustained
30802,1068085,M,28.1,BLACK,Black,not-sustained
30803,1068086,F,49.4,BLACK,Black,not-sustained
30804,1068087,F,98.4,WHITE,White,open-investigation
30805,1068088,F,38.6,BLACK,Black,not-sustained
30806,1068089,M,35.9,BLACK,Black,unknown
30807,1068091,M,28.8,BLACK,Black,unknown
30808,1068092,F,36.5,BLACK,Black,open-investigation
30809,1068094,M,25.1,BLACK,Black,not-sustained
30810,1068095,M,60.2,BLACK,Black,not-sustained
30811,1068098,M,25.2,WHITE HISPANIC,White/Hispanic,unknown
30812,1068099,F,60.1,BLACK,Black,not-sustained
30813,1068102,M,40.2,BLACK,Black,not-sustained
30814,1068103,F,45.3,BLACK,Black,not-sustained
30815,1068106,F,26.2,BLACK,Black,unknown
30816,1068108,M,48.5,BLACK,Black,not-sustained
30817,1068110,M,48.0,BLACK,Black,not-sustained
30818,1068111,F,35.1,BLACK,Black,open-investigation
30819,1068112,F,28.2,BLACK,Black,unknown
30820,1068113,M,55.2,BLACK,Black,unknown
30821,1068114,M,55.2,BLACK,Black,not-sustained
30822,1068115,M,49.7,BLACK,Black,not-sustained
30823,1068116,M,33.6,BLACK,Black,unknown
30824,1068117,F,46.7,WHITE HISPANIC,White/Hispanic,unknown
30825,1068118,M,26.1,BLACK,Black,not-sustained
30826,1068119,M,31.5,BLACK,Black,not-sustained
30827,1068120,M,27.7,UNKNOWN,Unknown,not-sustained
30828,1068122,M,49.2,BLACK,Black,open-investigation
30829,1068123,M,26.7,WHITE HISPANIC,White/Hispanic,not-sustained
30830,1068126,M,21.9,BLACK,Black,unknown
30831,1068127,F,41.0,WHITE,White,unknown
30832,1068128,F,,WHITE,White,unknown
30833,1068129,F,34.0,BLACK,Black,not-sustained
30834,1068130,M,22.4,BLACK,Black,unknown
30835,1068131,F,30.3,BLACK,Black,not-sustained
30836,1068132,F,26.8,BLACK,Black,unknown
30837,1068137,M,41.3,WHITE,White,unknown
30838,1068140,M,49.5,HISPANIC,Hispanic,sustained
30839,1068143,F,33.6,BLACK,Black,not-sustained
30840,1068146,M,25.7,WHITE HISPANIC,White/Hispanic,unknown
30841,1068147,M,47.6,BLACK,Black,unknown
30842,1068148,M,44.5,BLACK,Black,unknown
30843,1068149,F,35.4,WHITE HISPANIC,White/Hispanic,not-sustained
30844,1068150,M,,BLACK,Black,unknown
30845,1068151,F,43.5,BLACK,Black,open-investigation
30846,1068152,M,52.6,BLACK,Black,unknown
30847,1068153,M,,BLACK,Black,unknown
30848,1068157,M,34.2,WHITE,White,unknown
